,0,1,2,3,4
0,F major,4/4,I,0.5,0.0
1,F major,4/4,I742,0.5,0.5
2,F major,4/4,I6,1.0,1.0
3,F major,4/4,I742,0.5,2.0
4,F major,4/4,vi6,0.5,2.5
5,F major,4/4,V,0.5,3.0
6,F major,4/4,viio64,0.5,3.5
7,F major,4/4,I6,0.5,4.0
8,F major,4/4,iii7,0.5,4.5
9,F major,4/4,IV,0.5,5.0
10,F major,4/4,vi43,0.5,5.5
11,F major,4/4,viio6,1.0,6.0
12,F major,4/4,I,1.0,7.0
13,F major,4/4,vi,0.5,8.0
14,F major,4/4,vi7,0.5,8.5
15,F major,4/4,viio6,0.5,9.0
16,F major,4/4,I65,0.5,9.5
17,F major,4/4,IV,0.5,10.0
18,F major,4/4,ii6,0.5,10.5
19,F major,4/4,V6,0.5,11.0
20,F major,4/4,VI#8653,0.5,11.5
21,F major,4/4,ii,0.5,12.0
22,F major,4/4,#vob64b3,0.5,12.5
23,F major,4/4,vi,0.5,13.0
24,F major,4/4,I64,0.5,13.5
25,F major,4/4,viio64,0.5,14.0
26,F major,4/4,ii6,0.5,14.5
27,F major,4/4,III,1.0,15.0
28,F major,4/4,vi,1.0,16.0
29,F major,4/4,vii7,0.5,17.0
30,F major,4/4,V6,0.5,17.5
31,F major,4/4,I,0.5,18.0
32,F major,4/4,II5#42,0.5,18.5
33,F major,4/4,iii64,0.5,19.0
34,F major,4/4,I6,0.5,19.5
35,F major,4/4,#iv/ob6b42,0.5,20.0
36,F major,4/4,II75#3,0.5,20.5
37,F major,4/4,i74,0.5,21.0
38,F major,4/4,V64,0.5,21.5
39,F major,4/4,II,1.0,22.0
40,F major,4/4,V,1.0,23.0
41,F major,4/4,I,1.0,24.0
42,F major,4/4,IV,1.0,25.0
43,F major,4/4,iii52,0.5,26.0
44,F major,4/4,viio6,0.5,26.5
45,F major,4/4,I6,0.5,27.0
46,F major,4/4,II#8653,0.5,27.5
47,F major,4/4,V,1.0,28.0
48,F major,4/4,VI#643,0.5,29.0
49,F major,4/4,#iv,0.25,29.5
50,F major,4/4,VI#643,0.25,29.75
51,F major,4/4,#iio6b33,0.5,30.0
52,F major,4/4,VII7#3,0.5,30.5
53,F major,4/4,iii,1.0,31.0
54,F major,4/4,iii,1.0,32.0
55,F major,4/4,IV65,0.5,33.0
56,F major,4/4,V65,0.5,33.5
57,F major,4/4,I532,0.5,34.0
58,F major,4/4,I,0.5,34.5
59,F major,4/4,IV,0.5,35.0
60,F major,4/4,v7b32,0.5,35.5
61,F major,4/4,VI7#3b2,0.5,36.0
62,F major,4/4,VI7#3,0.5,36.5
63,F major,4/4,ii,0.5,37.0
64,F major,4/4,viio6,0.5,37.5
65,F major,4/4,I6,0.5,38.0
66,F major,4/4,I752,0.5,38.5
67,F major,4/4,V,1.0,39.0
68,F major,4/4,V,1.0,40.0
69,F major,4/4,#io7,0.5,41.0
70,F major,4/4,VI#8653,0.5,41.5
71,F major,4/4,II6#42,1.0,42.0
72,F major,4/4,v6,1.0,43.0
73,F major,4/4,#ivo7,0.5,44.0
74,F major,4/4,II#8653,0.5,44.5
75,F major,4/4,i54,0.5,45.0
76,F major,4/4,v,0.5,45.5
77,F major,4/4,II,1.0,46.0
78,F major,4/4,V,1.0,47.0
